"id","obligation","count"
393,"3 Wochen Wartefrist bis zum nächsten Weidegang.",8
394,"Als Zusatz zu den durch die Firma zu bestimmenden Fungiziden.",8
395,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",8
396,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzanzug tragen.",8
397,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",8
398,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Atemschutzmaske (P3) tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten. Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) tragen.",8
399,"Auf der Produktetikette ist die Anzahl Organismen pro Packung anzugeben.",8
400,"Ausbringen des Produktes: Schutzhandschuhe tragen.",8
401,"Bei Nachfolgearbeiten sind bis 48 Stunden nach Ausbringung des Mittels Schutzhandschuhe und ein Schutzanzug zu tragen.",8
402,"Beim Beizvorgang sind Schutzhandschuhe und ein Schutzanzug zu tragen.",8
403,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 15-51 (F) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",8
404,"Die Auflagen zum Schutz von Mensch, Haus- und Wildtieren sind strikt zu befolgen. Bei unsachgemässer Anwendung besteht ein Risiko für Mensch, Haus- und Wildtiere.",8
405,"Die maximale Aufwandmenge von 1.6 l/ha pro Applikation darf nicht überschritten werden.",8
406,"Die Produktion hat von einem definierten Virusstamm (Saatvirus) auszugehen.",8
407,"Die Spritzbrühe muss innerhalb von 4 Stunden nach dem (erstmaligen) Mischen ausgebracht werden.",8
408,"Feltiella acarisuga ist ein Ergänzungs-Nützling zu anderen Nützlingen.",8
409,"Für die Zucht dürfen nur Organismen, die natürlicherweise in Europa vorkommen verwendet werden.",8
410,"Gefahr von Phytotoxizität bei einer Behandlung bei hohen Temperaturen.",8
411,"Gegen Rotbrenner in Tankmischung mit Folpet (80% WP), Konz. 0.1%.",8
412,"In Tankmischung mit 2.0 l/ha Successor 600.",8
413,"Köder oder Teile davon dürfen nicht mit dem Erntegut in Kontakt kommen.",8
414,"Maximal 2 Behandlungen pro Jahr.",8
415,"Maximal 2 Behandlungen pro Kultur im Abstand von 10 Tagen.",8
416,"Maximal 2 Behandlungen.",8
417,"Maximal 3 Behandlungen im Abstand von 7-10 Tagen.",8
418,"Maximal 5 Behandlungen pro Jahr.",8
419,"Nur für die nichtberufliche Verwendung.",8
420,"Nur in Kulturen unter Tunnelabdeckung oder im Gewächshaus",8
421,"Nur in Tankmischung mit 0.55-1 kg/ha Basagran SG.",8
422,"Nur in Tankmischung mit Captan 0.125%.",8
423,"Nützlinge vor direkter Sonneneinstrahlung und Wasser schützen.",8
424,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einen Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 4 Mal pro Jahr ausgebracht werden, wovon höchstens 2 aufeinander folgende Behandlungen erlaubt sind.",8
425,"SPe 1 - Zum Schutz von Grundwasser maximal 3 Anwendungen pro Parzelle und Jahr mit einem Trifloxystrobin-haltigen Produkt, davon maximal 1 Anwendung im Herbst.",8
426,"Splitbehandlung mit niedriger Aufwandmenge ist zu bevorzugen (angegebene Aufwandmenge entspricht total bewilligter Menge).",8
427,"Unmittelbar nach Hagelschlag, bis spätestens Mitte August.",8
428,"Vor Gebrauch der Spritzbrühe ist diese gut zu schütteln. Spritzbrühe immer wieder kräftig schütteln und rasch aufbrauchen.",8
429,"Während der Applikation kontinuierlich rühren.",8
430,"Wirkt nur auf Blattläuse, die direkt getroffen werden.",8
431,"Zwecks Vitalitätsprüfung ersuchen wir (auf Anfrage) um Zustellung einer Stichprobe.",8
432,"2 Anwendungen pro Jahr, April bis September.",7
433,"Ab 2. Standjahr",7
434,"Achtung! Erhöhte Schaumbildung bei der Herstellung der Spritzbrühe.",7
435,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",7
436,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen.",7
437,"Anwendung bei sonniger, trockener Witterung; Temperaturen 20-28°C. Nicht anwenden bei bewölkter, kühler Witterung sowie Temperaturen über 28°C.",7
438,"Applikationsintervall: 14 Tage.",7
439,"Auf der Gebrauchsanweisung ist die Liste der Sorten aufzuführen, welche das Präparat vertragen.",7
440,"Befüllen der Maschine mit Granulat: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (BP3) tragen. Ausbringen und Einarbeiten des Granulats, Abdecken und Entfernen der Folie, erste Bodenbearbeitung: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (BP3).",7
441,"Behandlung der unbearbeiteten Zwischenreihen bei der Streifenfrässaat.",7
442,"Bei geringen Niederschlägen und in trockenen Gebieten muss das Produkt nach der Applikation eingeregnet werden.",7
443,"Bei Nachfolgearbeiten im Gewächshaus: Während der Einwirkzeit sicherstellen, dass niemand den Raum ohne vorgeschriebene Schutzausrüstung betritt. Betreten der behandelten Räume während der Einwirkzeit: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (B) tragen. Nach Abschluss der Einwirkzeit Gewächshaus vor dem Wiederbetreten gründlich lüften.",7
444,"Beim Ansetzen der Spritzbrühe sind Schutzhandschuhe und ein Schutzanzug zu tragen. Beim Ausbringen der Spritzbrühe sind Schutzhandschuhe zu tragen.  Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",7
445,"Beim Vermischen von Lösung und Tabletten: Schutzhandschuhe + Schutzanzug + Schutzbrille tragen. Beim Entsorgen der Restlösung: Schutzhandschuhe + Schutzanzug + Schutzbrille tragen",7
446,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 11-12 (E) und eine Referenzbrühmenge von 600 l/ha (Berechnungsgrundlage).",7
447,"Die Etiketten von Verpackungen mit behandeltem Pflanzgut sind mit folgenden Angaben zu versehen:  - Gebeiztes Pflanzgut. Nicht einnehmen! Überreste dürfen (auch gewaschen) nicht als Futter oder Lebensmittel verwendet werden.  - Die Handelsbezeichnung, Wirkstoff(e), sowie die Sicherheitshinweise des Saatbeizmittels.  - Zum Schutz von Vögeln und wildlebenden Säugetieren muss das behandelte Pflanzgut vollständig in den Boden eingearbeitet werden; es ist sicherzustellen, dass das behandelte Pflanzgut auch am Ende der Saatreihen vollständig in den Boden eingearbeitet ist.  - Zum Schutz von Vögeln und wildlebenden Säugetieren muss verschüttetes Pflanzgut beseitigt werden.",7
448,"Frühjahr: maximal 1 Behandlung pro Parzelle.",7
449,"Gegen die 2. Generation des Traubenwicklers.",7
450,"Gewächshaustemperatur über 15 Grad Celsius halten.",7
451,"Grüne bzw. unverholzte Pflanzenteile der Kulturpflanzen dürfen mit dem Herbizid nicht in Kontakt kommen.",7
452,"Herbst: maximal 1 Behandlung pro Parzelle.",7
453,"Karenzfrist zwischen Behandlung und Pflanzung bzw. Behandlung und  Aussaat sowie Vorsichtsmassnahmen gemäss den Angaben der Bewilligungsinhaberin beachten.",7
454,"Maximal 15 Behandlungen im Abstand von ca. 7 Tagen pro Parzelle und Jahr.",7
455,"Maximal 2 Behandlungen im Abstand von 7-10 Tagen.",7
456,"Maximal 2 Behandlungen pro Kultur und Jahr mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",7
457,"Maximal 4 Behandlungen pro Kultur im Abstand von 7 Tagen.",7
458,"Nach Zugabe der Tabletten in die Lösung: Raum sofort verlassen und Raum gut verschliessen. Während der Behandlungszeit sicherstellen, dass niemand den Raum betritt. Nach Abschluss der Behandlungszeit: Raum vor dem Wiederbetreten mindestens 15 Minuten gründlich lüften.",7
459,"Nicht mit Kupferpräparaten mischbar, Gefahr von Blattverbrennungen.",7
460,"Nur gegen nichtresistente Stämme geeignet.",7
461,"Nur in Obstanlagen gemäss Art. 22 der Verordnung vom 7. Dezember 1998 über landwirtschaftliche Begriffe und die Anerkennung von Betriebsformen (SR 910.91, LBV).",7
462,"Sofort nach der Applikation einarbeiten.",7
463,"Sortenempfindlichkeit beachten, verträgliche Sorten sind auf der Etikette zu vermerken.",7
464,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 60 m zu Oberflächengewässern einhalten.",7
465,"Tiefere Dosierung auf sandigen, schwach humosen Böden; höhere Dosierung auf schweren, schwach humosen Böden.",7
466,"Zusatz von 1% Zucker.",7
467,"1 Behandlung nach der Ernte.",6
468,"1-3 Behandlungen in Kombination mit Phytoseiulus.",6
469,"Anforderungen an Witterung beachten: das Antrocknen der Spritzbrühe muss gewährleistet sein, Regenfestigkeit nach 6 oder mehr Stunden.",6
470,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe:  Schutzhandschuhe tragen.",6
471,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Ausbringen der Spritzbrühe: Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",6
472,"Anwendung nur in Kulturen zur Produktion von getrockneten Samen und Früchten.",6
473,"Anwendung nur in Kulturen zur Produktion von teeähnlichen Erzeugnissen.",6
474,"Aprikosen sind schwefelempfindlich, keine Behandlungen.",6
475,"Auch bei reduzierten Spritzbrühen darf die Konzentration von 0.1% nicht überschritten werden.",6
476,"Auf Packungen und in anderen Empfehlungen ist auf die nötigen Vorsichtsmassnahmen hinzuweisen.",6
477,"Ausbringen des Granulats: Schutzhandschuhe tragen.",6
478,"Befüllen der Maschinen mit dem Granulat: Schutzanzug tragen. Ausbringen des Granulats: Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",6
479,"Befüllen der Maschinen mit dem Granulat: Schutzhandschuhe + Schutzanzug tragen. Ausbringen des Granulats: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabinen) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",6
480,"Behandlung mit Spritzschirm.",6
481,"Behandlung nur auf Anweisung der Kantonalen Pflanzenschutzdienste.",6
482,"Behandlungen im Abstand von 10 Tagen.",6
483,"Behandlungsintervall 7 Tage.",6
484,"Behandlungsintervall mindestens 3 Tage.",6
485,"Bei Bedarf Anwendung nach 14-21 Tagen wiederholen.",6
486,"Beim Ansetzen der Spritzbrühe müssen Schutzhandschuhe getragen werden. Ist bei der Applikation der Spritzbrühe der Hautkontakt mit dem Pflanzenschutzmittel nicht zu vermeiden (z.B. durch Sprühnebel) so müssen Schutzhandschuhe und ein Schutzanzug getragen werden.",6
487,"Beizen des Saatguts: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P2) tragen.",6
488,"Brühemenge: 1000 l/ha.",6
489,"Das Laub behandelter Rüben darf nicht an Tiere verfüttert werden.",6
490,"Das Produkt kann bei Hautkontakt Allergien auslösen. Beim Ansetzen der Spritzbrühe sind Schutzhandschuhe und ein Schutzanzug zu tragen.",6
491,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 61-69 (I) und eine Referenzbrühmenge von 1'200 l/ha (Berechnungsgrundlage). Die Brühemenge muss an das Entwicklungsstadium der Kultur angepasst werden.",6
492,"Die Aufwandmenge entspricht 1 gelben Tablette (4.2 g) oder 5 rosa Tabletten (5 x 0.84 g).",6
493,"Die Kultur muss im Zeitpunkt der Behandlung eine gut ausgebildete Wachsschicht aufweisen.",6
494,"Die Wirkungseffizienz dieses Produkt wurde nicht in allen Kulturen und für alle Applikationen geprüft und kann deshalb je nach Kultur, Substrat oder Applikationsbedingungen stark schwanken.",6
495,"Einzelpflanzenbehandlung mit Rückenspritze.",6
496,"Grüne bzw. unverholzte Pflanzenteile der Kulturpflanzen dürfen nicht getroffen werden.",6
497,"In 300-600 l Wasser/ha.",6
498,"In der Regel nur 1 Behandlung bei Befallsbeginn durchführen.",6
499,"In Tankmischung mit Pronto Plus (0.8 l/ha).",6
500,"Kann bei weichblättrigen Zierpflanzen, Oleander, Farnen und an Blüten Phytotoxschäden verursachen.",6
501,"Keine Anwendung bei Baby-Leaf.",6
502,"Letzte Behandlung bei Beginn des Farbumschlags, jedoch spätestens Mitte August.",6
503,"Maximal 2 Behandlungen pro Kultur im Abstand von 5 Tagen.",6
504,"Maximal 2 Behandlungen pro Kultur im Abstand von 7-14 Tagen.",6
505,"Maximal 2 Behandlungen pro Parzelle und Jahr mit Produkten, die Fluopicolide oder Fluopyram enthalten.",6
506,"Maximal 400ml/ha.",6
507,"Maximal 9 Behandlungen pro Kultur.",6
508,"Nachfolgearbeiten in behandelten Kulturen: mindestens Schutzhandschuhe + langärmliges Hemd + lange Hose + festes Schuhwerk tragen.",6
509,"Nur in Tankmischung mit 1-2 L/ha Basagran.",6
510,"Nur zur Setzlingsanzucht.",6
511,"PLS+RCC = Physiological Leaf Spots und Ramularia collo-cygni.",6
512,"Sicherstellen, dass der behandelte Rasen bis zum nächsten Schnitt (inklusive Entfernung Schnittgut) nur mit langärmeligen Hemd + langen Hosen betreten wird.",6
513,"SPa 1: Zur Vermeidung einer Resistenzbildung darf dieses oder irgendein anderes Produkt, welches einen Wirkstoff aus der Wirkstoffgruppe der SDHI oder SSH enthält, nicht mehr als 3 mal pro Parzelle und Jahr ausgebracht werden.",6
514,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 3 Mal pro Kultur und Jahr ausgebracht werden.",6
515,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).",6
516,"SPe 1 - Zum Schutz von Grundwasser dieses Pflanzenschutzmittel oder andere Bupirimate-haltige Pflanzenschutzmittel nicht mehr als 3 mal pro Parzelle und Jahr anwenden.",6
517,"SPe 3: Zum Schutz von Gewässerorganismen eine unbehandelte Pufferzone von 6 m zu Oberflächengewässern einhalten.",6
518,"Spritzabstände 7-10 Tage zu anderen Kontaktfungiziden.",6
519,"Spritzbrühe gut anrühren, damit diese homogen ist.",6
520,"Ueber die kombinierte Anwendung mit Herbiziden (Tankmischung) geben die jeweiligen Packungsaufschriften der Unkrautbekämpfungsmittel Auskunft.",6
521,"Zwei Freilassungen.",6
522,"2 l Wasser pro m² bzw. 20'000 l Wasser pro ha.",5
523,"6% bei 300 l Wasser.",5
524,"Als Zusatz zu Netzschwefel oder organischen Fungiziden.",5
525,"Ansetzen und Ausbringen der Streichlösung: Schutzhandschuhe + Schutzbrille oder Visier tragen.",5
526,"Anwendung auf die trockenen Unkräuter und Ungräser (2 ml Produkt/m2 in 15-30 ml Brühe/m2).",5
527,"Anwendungstechnik: Unterblattbehandlung.",5
528,"Behandlung auf abgehärtete Pflanzen.",5
529,"Behandlung von im Frühling oder Herbst gesäten Kulturen.",5
530,"Behandlungen im Abstand von mindestens 14 Tagen.",5
531,"Behandlungen nach der Blüte: Pro Parzelle und Jahr insgesamt nicht mehr als 3400 g des Wirkstoffs Dithianon pro Hektar anwenden.",5
532,"Bei allen Anwendungen soll eine Einarbeitungstiefe von 20 cm eingehalten werden.",5
533,"Bei Bedarf Anwendung nach 7 Tagen wiederholen.",5
534,"Bei Betreten der behandelten Räume sind während der Behandlungs- und Einwirkzeit Schutzhandschuhe, ein Schutzanzug, eine Kopfbedeckung, eine Atemschutzmaske (A2P2) und eine dicht abschliessende Schutzbrille zu tragen. Eine Vollmaske kann die Kombination Schutzbrille und Schutzmaske ersetzen.",5
535,"Bei Winterroggen Behandlung bis Stadium BBCH 25.",5
536,"Betreten der behandelten Räume während Einwirkzeit: Schutzhandschuhe + Schutzanzug + Schutzbrille + Kopfbedeckung + Atemschutzmaske (A2P3) tragen.",5
537,"Darf nicht im Herbst angewendet werden.",5
538,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 01-10 (B-D) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",5
539,"Die Etiketten von Verpackungen mit behandeltem Pflanzgut sind mit folgenden Angaben zu versehen: ""Bei der Handhabung von gebeiztem Pflanzgut sind Schutzhandschuhe zu tragen.""",5
540,"Die Luftfeuchtigkeit muss nach dem Einsatz während mindestens 24 Stunden über 90% r. F. gehalten werden.",5
541,"Einsatz kurativ und in Kombination mit anderen Blattlaus-Nützlingen.",5
542,"Entweder 1x 6 ml/m2 (maximal eine Behandlung) oder 2x 3 ml/m2 (maximal 2 Behandlungen).",5
543,"Entweder 4 L/ha (maximal 6 Behandlungen im Intervall von 5 -7 Tagen) oder 8 L/ha (maximal 4 Behandlungen im Intervall von 7-10 Tagen).",5
544,"Erste Behandlung bei Befallsbeginn, bei Bedarf nach 7-14 Tagen wiederholen.",5
545,"In Tankmischung mit einem organischen Fungizid.",5
546,"Keine Anwendung in Saatkartoffeln.",5
547,"Koniferen und Thuja erst nach Ausreifen der Jahrestriebe behandeln.",5
548,"Larven nicht jünger als L3",5
549,"Maximal 3 Behandlungen pro Kultur im Abstand von mindestens 7 Tagen.",5
550,"Maximal 5 Behandlungen pro Kultur.",5
551,"Maximal 6 Behandlungen pro Jahr im Abstand von mindestens 7 Tagen.",5
552,"Maximal 8 Behandlungen pro Parzelle und Jahr.",5
553,"Nachfolgearbeiten in behandelten Kulturen sind frühestens 48 Stunden nach Ausbringung möglich. Dabei sind Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) zu tragen.",5
554,"Nur in Tankmischung mit einem Glyphosate-Produkt.",5
555,"Nur vor der Blüte und nach der Ernte.",5
556,"Nur zur Behandlung von Unkrautnestern.",5
557,"Phytotoxschäden bei empfindlichen Arten oder Sorten möglich.",5
558,"Remontierende Erdbeeren: Behandlungsintervall von 21 Tagen.",5
559,"SPa 1: Zur Vermeidung einer Resistenzbildung darf dieses oder irgendein anderes Produkt, welches einen Wirkstoff aus der Wirkstoffgruppe QiI enthält, nicht mehr als 3 mal pro Parzelle und Jahr ausgebracht werden.",5
560,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC Nr. 03 (SSH = Sterolsynthesehemmer = Triazole).",5
561,"SPa 1: Zur Vermeidung einer Resistenzbildung, Produkt im Wechsel mit Produkten einsetzen, die keinen Wirkstoff aus der Wirkstoffgruppe FRAC Nr. 27 enthalten.",5
562,"Spe 3: Zum Schutz von Gewässerorganismen eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden. Zum Schutz vor den Folgen einer Abschwemmung muss eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m eingehalten werden. Bei Anwendung im Gewächshaus gelten diese Abstandsauflagen nicht.",5
563,"Spe 3: Zum Schutz von Gewässerorganismen muss sichergestellt werden, dass bei der Anwendung kein Pflanzenschutzmittel in Oberflächengewässer gelangt.",5
564,"SPe 3: Zum Schutz von Nichtzielarthropoden vor den Folgen von Drift eine unbehandelte Pufferzone von 100 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",5
565,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 50 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",5
566,"SPe 8 - Gefährlich für Bienen: Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen (z.B. Kulturen, Einsaaten, Unkräutern, Nachbarkulturen, Hecken) in Kontakt kommen. Darf nur mit Driftreduktionsmassnahmen von mindestens 75% angewendet werden. In der Anlage sowie in einem Pufferstreifen von 3 m Breite rund um die Anlage sind blühende Einsaaten oder Unkräuter vor der Behandlung zu entfernen (am Vortag mähen/mulchen).",5
567,"1 Beutel = 250 Organismen.",4
568,"1 Röhrchen (240 Organismen) / 200m2",4
569,"1-2 Behandlungen im Abstand von 7-10 Tagen.",4
570,"1. Behandlung im Keim- bis Zweiblatt-Stadium der Unkräuter. 2. Behandlung 5-7 Tage später.",4
571,"2-3 Behandlungen im Abstand von 14 Tagen.",4
572,"4 Anwendungen im Abstand von 7 Tagen.",4
573,"6 Anwendungen im Abstand von 7 Tagen.",4
574,"Als Zusatz zu den durch die Firma zu bestimmenden Fungizid- und Insektizidspritzbrühen.",4
575,"Ansetzen der Spritzbrühe oder Streichlösung: Schutzhandschuhe + Schutzbrille oder ein Visier zu tragen. Ausbringen der Spritzbrühe oder Streichlösung: Schutzhandschuhe zu tragen.",4
576,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",4
577,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",4
578,"Anwendung nur in Kulturen zur Produktion von  teeähnlichen Erzeugnissen oder Gewürzen.",4
579,"Anwendung nur in Kulturen zur Produktion von getrockneten Blättern und Blüten.",4
580,"Anwendungszeitpunkt bei Flughöhepunkt der Falter.",4
581,"Applikation im Abstand von 4 Wochen.",4
582,"Ausbringen der Spritzbrühe: Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",4
583,"Behandelte Geräte nicht verwenden, bevor die Oberfläche getrocknet ist.",4
584,"Behandlung mit der Rückenspritze.",4
585,"Behandlungen im Abstand von 8 - 14 Tagen.",4
586,"Bei Anwendung mit Köderstation: Das Produkt muss in geschlossenen Behältern mit lediglich einer Öffnung für Zielorganismen (Köderbehälter) angewendet werden.",4
587,"Bei Anwendung unter Flachabdeckung besteht die Gefahr von Schäden an der Kultur. Es sind die vom Bewilligungsinhaber festgelegten Vorsorgemassnahmen einzuhalten.",4
588,"Bei Befall 2-3 Behandlungen im Abstand von 7-10 Tagen.",4
589,"Bei der Anwendung: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutz (B2) tragen. Nach der Anwendung: Raum sofort verlassen und Raum gut verschliessen.",4
590,"Bei der Handhabung und beim Aufhängen der Dispenser sind Schutzhandschuhe zu tragen.",4
591,"Bei Kaltvernebelung im Raum: Schutzhandschuhe + Schutzanzug + Schutzbrille + Kopfbedeckung + Atemschutzmaske (A2P3) tragen.",4
592,"Bei Splitbehandlung 2 x 1 l/ha.",4
593,"Bei Winterspinat auf Sandböden Risiko von Blattchlorosen und Wachstumshemmungen im Erntejahr.",4
594,"Beim Ansetzen der Spritzbrühe müssen Schutzhandschuhe getragen werden. Beim Ausbringen der Spritzbrühe müssen Schutzhandschuhe, Schutzanzug und festes Schuhwerk getragen werden. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",4
595,"Beim Befüllen des Nebelgeräts sind Schutzhandschuhe, eine Atemschutzmaske (A2P2) und eine dicht abschliessende Schutzbrille oder ein Visier zu tragen.",4
596,"Beim Befüllen des Nebelgeräts: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P3) tragen.",4
597,"Beim Herstellen der Spritzbrühe sehr gut rühren.",4
598,"Beim Verdünnen der Pilzsporen-Lösung ist eine Schutzmaske (FFP 2/3) zu tragen.",4
599,"Bewilligt nur für die Behandlung folgender getrockneter Erntegüter: Getreide, Mais, Reis, Ackerbohnen, Bohnen, Eiweisserbsen, Linsen.",4
600,"Brühemenge: 1000 - 1500 l/ha.",4
601,"Brühemenge: 230 - 600 l/ha.",4
602,"Brühemenge: zur Vermeidung von Phytotoxizität mindestens 1000 l/ha.",4
603,"Das Laub behandelter Rüben sowie behandelter Futterrüben darf nicht an Milchkühe verfüttert werden.",4
604,"Das Produkt  vor dem Gebrauch gut schütteln. Im Spritztank bei laufendem Rührwerk anwenden. Bei Spritzgeräten ohne Rührwerk Brühe regelmässig schütteln/rühren.",4
605,"Das Produkt darf nicht eingesetzt werden auf den essbaren Teilen von Pflanzen, die zum menschlichen Verzehr gedacht sind.",4
606,"Das Produkt kann bei Hautkontakt möglicherweise Allergien auslösen. Beim Ansetzen der Spritzbrühe müssen Schutzhandschuhe und eine Schutzbrille getragen werden. Ist bei der Applikation der Spritzbrühe der Hautkontakt mit dem Pflanzenschutzmittel nicht zu vermeiden (z.B. durch Sprühnebel), ist die Verwendung weiterer geeigneter Schutzausrüstung (z.B. Schutzanzug, Visier, Kopfbedeckung) erforderlich.",4
607,"Den Dispenser beim Einschalten nicht vor das Gesicht halten, da beim Einschalten ein Kontrollausstoss erfolgt.",4
